Condition,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Pneumonia,Pneumonia,Pneumonia,Pneumonia,Pneumonia,Pneumonia,Pneumonia,Pneumonia,Pneumonia,Pneumonia
Acuteness,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Mild,Mild,Mild,Severe,Severe,Mild,Severe,Severe,Mild,Severe
Sample,iBAQ H10,iBAQ H11,iBAQ H12,iBAQ H3,iBAQ H4,iBAQ H5,iBAQ H6,iBAQ H7,iBAQ H8,iBAQ H9,iBAQ P1,iBAQ P10,iBAQ P11,iBAQ P2,iBAQ P3,iBAQ P4,iBAQ P5,iBAQ P6,iBAQ P7,iBAQ P8
Protein IDs,,,,,,,,,,,,,,,,,,,,
A0A075B6P5,195500000.0,93152000.0,3568950.0,233460000.0,137740000.0,194400000.0,10630000.0,16958000.0,1106300.0,195280000.0,5036200.0,3399300.0,3886500.0,6790050.0,5150450.0,18616000.0,215290000.0,2201650.0,48074000.0,74612000.0
Q99880,40405000.0,20849000.0,3568950.0,62054000.0,11477000.0,107990000.0,6760600.0,3337100.0,1106300.0,18673000.0,18519000.0,12737000.0,23081000.0,22440000.0,92781000.0,13559000.0,406250000.0,2201650.0,28003000.0,168060000.0
O75592,8193100.0,4024500.0,247420.0,15064000.0,11224000.0,7040700.0,10630000.0,687690.0,1106300.0,18946000.0,1586500.0,445100.0,2335300.0,1818000.0,4968300.0,1788300.0,14250000.0,201700.0,6804500.0,5069900.0
P00338,33250000.0,13066000.0,3568950.0,49565000.0,4308600.0,57598000.0,10417000.0,3337100.0,866840.0,4774800.0,9512000.0,1632800.0,3886500.0,5114400.0,11785000.0,1246200.0,28419000.0,2201650.0,6353100.0,20407000.0
P00450,16598000.0,14487000.0,3568950.0,17371000.0,10696000.0,16341000.0,5154900.0,1016300.0,1106300.0,5615700.0,5036200.0,3399300.0,3886500.0,6790050.0,657360.0,492560.0,29042000.0,2201650.0,242460.0,3050000.0
P00738,47609000.0,16248000.0,801570.0,33154000.0,48202000.0,21278000.0,12866000.0,3490300.0,1060800.0,11473000.0,5036200.0,3399300.0,3886500.0,6790050.0,2462700.0,3129250.0,97707000.0,2201650.0,1538900.0,24539000.0
P01009,46147000.0,1884200.0,3568950.0,27625000.0,25661000.0,15119000.0,5605100.0,2145000.0,1106300.0,6659600.0,5036200.0,3399300.0,3886500.0,6638300.0,3139400.0,1064400.0,114010000.0,1101900.0,4848200.0,12124000.0
P01023,74895000.0,38860000.0,3568950.0,46463000.0,31560000.0,53529000.0,8816500.0,3267700.0,1106300.0,10507000.0,5036200.0,3399300.0,3886500.0,6790050.0,13263000.0,3801800.0,44466000.0,2201650.0,665610.0,14911000.0
P01024,66348000.0,27764000.0,3568950.0,46436000.0,24690000.0,56687000.0,6670500.0,1109600.0,1106300.0,9587800.0,5036200.0,3399300.0,53175.0,657860.0,14729000.0,2683700.0,63125000.0,2201650.0,1187000.0,20215000.0
P01036,12782000.0,21756000.0,2981500.0,49434000.0,30320000.0,5949900.0,65663000.0,3337100.0,2751700.0,6659600.0,5036200.0,1372700.0,2332300.0,123470000.0,3696000.0,3129250.0,56017000.0,2201650.0,16295000.0,8127400.0
P01619,48768000.0,18520000.0,3568950.0,92170000.0,68539000.0,89783000.0,26975000.0,3337100.0,1106300.0,46728000.0,5036200.0,3399300.0,3886500.0,6790050.0,19589000.0,3129250.0,126840000.0,2201650.0,15305000.0,25635000.0
P01700,48906000.0,10929000.0,3568950.0,172610000.0,81659000.0,77962000.0,42690000.0,3337100.0,1106300.0,48713000.0,5036200.0,3399300.0,5908100.0,6790050.0,33425000.0,11448000.0,119900000.0,2201650.0,22933000.0,31841000.0
P01833,31573000.0,12257000.0,4156400.0,66538000.0,33852000.0,26897000.0,36848000.0,451030.0,686870.0,96290000.0,5036200.0,669150.0,2358700.0,6790050.0,4938200.0,888290.0,34738000.0,2201650.0,13449000.0,3582700.0
P01857,35767000.0,25142000.0,3568950.0,17091000.0,7070600.0,37822000.0,7272500.0,2997000.0,846510.0,6116000.0,5036200.0,3399300.0,3886500.0,6790050.0,3429800.0,3064200.0,14160000.0,1203800.0,6629450.0,4414700.0
P01859,61196000.0,82430000.0,3568950.0,94847000.0,32074000.0,120300000.0,60492000.0,16543000.0,1106300.0,15329000.0,5036200.0,3399300.0,3886500.0,14093000.0,12274000.0,16827000.0,51813000.0,3216400.0,10311000.0,19649000.0
P01860,14563000.0,9546000.0,3568950.0,7447300.0,4188600.0,11450000.0,4038900.0,730580.0,1106300.0,2712100.0,5036200.0,3399300.0,3886500.0,6790050.0,5150450.0,1072300.0,8883800.0,2201650.0,1794900.0,3199800.0
P01871,48959000.0,26193000.0,263900.0,126960000.0,16226000.0,32154000.0,12577000.0,2745400.0,1106300.0,34357000.0,5739500.0,3590100.0,7380800.0,1307000.0,31619000.0,4732200.0,116110000.0,3449400.0,17838000.0,40837000.0
P01876,23343000.0,17313000.0,3568950.0,96102000.0,55579000.0,51125000.0,37648000.0,4106000.0,1106300.0,134330000.0,1919900.0,3399300.0,6684300.0,2923200.0,7139600.0,6714700.0,24221000.0,2201650.0,18768000.0,10941000.0
P02671,23188000.0,26158000.0,225990.0,9532600.0,22558000.0,19454000.0,4287600.0,13337000.0,523130.0,3828600.0,5036200.0,3399300.0,3886500.0,6790050.0,1502700.0,2543600.0,12776000.0,2201650.0,6629450.0,10991000.0
P02675,70667000.0,72191000.0,3568950.0,36577000.0,56048000.0,58745000.0,13060000.0,15460000.0,1106300.0,4502800.0,5036200.0,3399300.0,3886500.0,6790050.0,2464300.0,3129250.0,41547000.0,276320.0,838950.0,17853000.0
P02787,149330000.0,114960000.0,786060.0,136180000.0,123400000.0,125550000.0,77585000.0,42414000.0,1106300.0,30093000.0,5036200.0,3533900.0,3886500.0,1693800.0,36445000.0,22663000.0,116170000.0,930260.0,6055000.0,31074000.0
P02788,24711000.0,32971000.0,11398000.0,87472000.0,52206000.0,26317000.0,98043000.0,7618600.0,10300000.0,86673000.0,5036200.0,8146300.0,1023300.0,967680.0,12385000.0,4043900.0,23282000.0,247880.0,2884700.0,6158400.0
P02790,54524000.0,26500000.0,3568950.0,50105000.0,43987000.0,46401000.0,13907000.0,5913600.0,1106300.0,3766200.0,5036200.0,1936000.0,3886500.0,4038400.0,27564000.0,11172000.0,82898000.0,2201650.0,3436000.0,21928000.0
P04004,7468700.0,1515600.0,3568950.0,17423500.0,4023200.0,2397000.0,10630000.0,3337100.0,1106300.0,6659600.0,5036200.0,3399300.0,3886500.0,6790050.0,5478800.0,2129700.0,21472000.0,2201650.0,6629450.0,7231500.0
P04075,14563000.0,966270.0,3568950.0,9017700.0,7620050.0,12065000.0,5747100.0,3337100.0,1106300.0,6659600.0,5036200.0,2253200.0,1868500.0,6941800.0,5150450.0,3129250.0,4818200.0,2201650.0,4954300.0,10284000.0
P04083,3455800.0,2349700.0,1470800.0,2096000.0,2605600.0,3217100.0,10705000.0,3337100.0,1106300.0,2087200.0,79065000.0,23038000.0,97118000.0,47779000.0,45566000.0,15017000.0,13162000.0,36177000.0,73343000.0,137590000.0
P04259,4931600.0,2930800.0,4219800.0,6182500.0,8219900.0,3304400.0,2262200.0,6601200.0,6133100.0,4052000.0,62647000.0,4145200.0,16987000.0,16877000.0,5101500.0,9099300.0,11450000.0,5027900.0,7860000.0,5209200.0
P04406,14563000.0,9546000.0,3568950.0,42955000.0,2689600.0,31268000.0,19548000.0,3337100.0,1106300.0,6659600.0,5036200.0,1826500.0,3156700.0,5169900.0,5150450.0,3129250.0,2191600.0,2201650.0,2678500.0,6364200.0
Q6FI13,14563000.0,9546000.0,3568950.0,32527000.0,2279100.0,5224000.0,38582000.0,3337100.0,1106300.0,3368500.0,5036200.0,1947200.0,7112900.0,6790050.0,5150450.0,3129250.0,19397000.0,2201650.0,10520000.0,37356000.0
P05109,93227000.0,38130000.0,8205400.0,6706100.0,7396400.0,24550000.0,13436000.0,3337100.0,1265000.0,17563000.0,21306000.0,8966100.0,32885000.0,15020000.0,67601000.0,10451000.0,109310000.0,4293300.0,45224000.0,84739000.0
P05164,20899000.0,48640000.0,6466300.0,1393400.0,4273600.0,26417000.0,5592300.0,4449300.0,758720.0,25139000.0,468000.0,3399300.0,566300.0,6790050.0,24569000.0,3194300.0,38818000.0,2201650.0,1997900.0,5737000.0
P06702,385900000.0,178540000.0,86035000.0,38522000.0,45705000.0,97106000.0,63561000.0,65314000.0,27829000.0,134780000.0,205850000.0,77698000.0,118800000.0,142070000.0,171350000.0,49174000.0,196100000.0,138280000.0,104490000.0,123050000.0
P06733,32101000.0,26163000.0,4880800.0,107230000.0,18679000.0,164190000.0,75761000.0,8046200.0,4358900.0,15694000.0,8728300.0,8050500.0,10051000.0,28038000.0,8828200.0,2252700.0,21140000.0,3154800.0,20549000.0,55936000.0
P06744,3469800.0,2198100.0,3568950.0,6402900.0,1289000.0,9882400.0,1659900.0,3337100.0,1106300.0,6659600.0,5036200.0,3399300.0,3886500.0,2017100.0,3844000.0,3129250.0,7106700.0,2201650.0,1135800.0,6333000.0
P07237,14563000.0,3795000.0,3568950.0,2020200.0,7620050.0,10540000.0,6301000.0,3337100.0,1106300.0,972910.0,4332900.0,7207600.0,6110700.0,22082000.0,1056200.0,3129250.0,7651000.0,2313200.0,7155300.0,27370000.0
P07437,921080.0,9546000.0,3568950.0,17406000.0,7620050.0,18454000.0,4031800.0,3337100.0,1106300.0,6659600.0,13090000.0,3399300.0,6011100.0,7963900.0,2212000.0,3129250.0,10697000.0,2201650.0,3736600.0,16552000.0
P07737,66757000.0,2794700.0,3568950.0,22237000.0,3818300.0,42175000.0,18010000.0,3337100.0,1106300.0,1602100.0,10141000.0,1473200.0,9843500.0,21469000.0,5150450.0,3129250.0,9483200.0,5531900.0,5838300.0,14360000.0
P07900,2853100.0,2938800.0,351220.0,4856600.0,7620050.0,19292000.0,3271300.0,3337100.0,393660.0,6659600.0,4056800.0,1996200.0,5529800.0,23355000.0,5590400.0,533160.0,19427000.0,861460.0,5138700.0,24499000.0
P08246,18404000.0,7295800.0,3568950.0,4643200.0,7620050.0,24580000.0,4042000.0,1058500.0,1106300.0,5626900.0,3238400.0,3399300.0,3886500.0,6790050.0,4453500.0,4115700.0,18136000.0,2201650.0,6629450.0,12043000.0
P08311,23876000.0,14348000.0,3568950.0,17423500.0,7620050.0,22825000.0,3492000.0,3337100.0,1106300.0,6659600.0,8091800.0,3399300.0,2473500.0,2304500.0,32167000.0,2911600.0,109300000.0,2201650.0,3300000.0,11086000.0
P08670,4170700.0,12601000.0,5225100.0,8707100.0,7620050.0,33279000.0,13664000.0,4423100.0,1106300.0,5283900.0,33545000.0,3399300.0,3886500.0,6790050.0,1119100.0,3129250.0,13659000.0,2201650.0,6629450.0,2170100.0
P09211,6070600.0,5396900.0,3568950.0,44882000.0,7620050.0,42917000.0,16236000.0,3337100.0,1034600.0,6659600.0,9831800.0,3429200.0,3863900.0,14174000.0,3651000.0,3129250.0,4325400.0,2090100.0,11090000.0,15036000.0
P0C0L5,12448000.0,6591100.0,3568950.0,5302800.0,7305100.0,14663000.0,10630000.0,3337100.0,1106300.0,396340.0,5036200.0,3399300.0,3886500.0,518910.0,5150450.0,202930.0,15374000.0,2201650.0,6629450.0,2108900.0
P62987,14563000.0,28164000.0,5802700.0,29170000.0,5773900.0,49153000.0,43865000.0,12370000.0,4399700.0,6659600.0,30204000.0,9851900.0,22229000.0,33687000.0,57088000.0,8919600.0,24111000.0,2962400.0,21221000.0,34532000.0
P0DMV8,959110.0,605370.0,3568950.0,17441000.0,550450.0,24871000.0,19823000.0,3337100.0,1106300.0,6659600.0,5036200.0,1790200.0,697100.0,2742300.0,5150450.0,3129250.0,19397000.0,2201650.0,7128300.0,7857500.0
P0DOY3,24688000.0,2261000.0,3568950.0,283770000.0,36104000.0,102130000.0,34287000.0,3337100.0,1106300.0,44402000.0,5036200.0,3399300.0,3886500.0,5895800.0,2753400.0,3129250.0,41716000.0,2201650.0,13688000.0,25407000.0
P11142,7162000.0,3333300.0,3568950.0,30052000.0,822390.0,41421000.0,31991000.0,3337100.0,1106300.0,2591000.0,5966400.0,4719900.0,6120100.0,18553000.0,1860300.0,3129250.0,16296000.0,553970.0,14459000.0,45554000.0
P11684,5041100.0,9546000.0,3568950.0,11800000.0,7620050.0,24635000.0,10630000.0,3337100.0,1106300.0,7306200.0,5036200.0,3399300.0,3886500.0,6790050.0,9899600.0,3129250.0,239430000.0,2201650.0,18930000.0,12043000.0
P12273,14563000.0,9546000.0,3568950.0,11762000.0,5896600.0,5925800.0,15516000.0,3337100.0,1106300.0,4006200.0,5036200.0,3399300.0,3593100.0,39143000.0,5150450.0,3129250.0,7546000.0,2201650.0,6454400.0,3453800.0
P13639,365520.0,432400.0,3568950.0,10463000.0,7620050.0,15104000.0,1564200.0,3337100.0,1106300.0,6659600.0,1572300.0,3399300.0,4384800.0,2348200.0,580140.0,3129250.0,1552400.0,2201650.0,3175400.0,11415000.0
P13796,14291000.0,4289400.0,3568950.0,5449400.0,1053800.0,15811000.0,2331600.0,3337100.0,1106300.0,2212500.0,944840.0,3399300.0,891710.0,2011300.0,4111500.0,3129250.0,23595000.0,2201650.0,1839200.0,5073400.0
P14618,12136000.0,6833500.0,3568950.0,74552000.0,2379200.0,62886000.0,31774000.0,3337100.0,1106300.0,3046100.0,8857300.0,3197700.0,3793000.0,17676000.0,1799300.0,3129250.0,8402400.0,1428900.0,8527700.0,23719000.0
P14780,5020000.0,9440600.0,3568950.0,553530.0,7620050.0,24753000.0,10630000.0,3337100.0,1106300.0,7310700.0,5036200.0,3399300.0,3886500.0,6790050.0,1069200.0,3129250.0,4306600.0,2201650.0,383940.0,703830.0
P15311,1194700.0,1456200.0,3568950.0,12244000.0,456450.0,19101000.0,7365200.0,3337100.0,1106300.0,1753200.0,3924900.0,3399300.0,2784900.0,8671900.0,4622500.0,3129250.0,14865000.0,1289500.0,8549700.0,23140000.0
P17066,3970300.0,3006400.0,3568950.0,8242500.0,1719200.0,15881000.0,10132000.0,3337100.0,1106300.0,2673000.0,5036200.0,1326700.0,1687600.0,4784300.0,5150450.0,3129250.0,6371300.0,2201650.0,4864500.0,10586000.0
P20160,38294000.0,85885000.0,3568950.0,17423500.0,7818800.0,45558000.0,35278000.0,3406500.0,1106300.0,44559000.0,5036200.0,3399300.0,3886500.0,6790050.0,8544700.0,2361000.0,19367000.0,2201650.0,6629450.0,4217400.0
P22079,498210.0,611600.0,3568950.0,1077100.0,7620050.0,460710.0,384600.0,3337100.0,1106300.0,1453800.0,684460.0,3399300.0,876970.0,2321400.0,5150450.0,3129250.0,3853500.0,2201650.0,10242000.0,5620900.0
P23528,2031200.0,12644000.0,3568950.0,92360000.0,4554200.0,107110000.0,123460000.0,3337100.0,1106300.0,4354100.0,2311300.0,2890600.0,3886500.0,10430000.0,1485500.0,3129250.0,8417200.0,2201650.0,6081000.0,7149500.0
P24158,54381000.0,7009100.0,3568950.0,8984200.0,6674300.0,56136000.0,6216900.0,3337100.0,1106300.0,6659600.0,5036200.0,3399300.0,3886500.0,6790050.0,27419000.0,5786900.0,68907000.0,2201650.0,3361300.0,5925200.0
P25311,25608000.0,14299000.0,3568950.0,128340000.0,70913000.0,56703000.0,97546000.0,2554000.0,1106300.0,74961000.0,5036200.0,4049300.0,10226000.0,12142000.0,2291600.0,3129250.0,15281000.0,2201650.0,24649000.0,13169000.0
P26641,14563000.0,1246800.0,3568950.0,1550700.0,7620050.0,7436700.0,998940.0,3337100.0,1106300.0,6659600.0,1248500.0,3399300.0,1355700.0,2186400.0,9894300.0,779690.0,1810300.0,621950.0,1165200.0,5175200.0
P27797,2782800.0,1983500.0,3568950.0,17423500.0,7620050.0,3713800.0,1856200.0,3337100.0,1106300.0,6659600.0,1935900.0,2065000.0,2867200.0,6254800.0,7435500.0,3129250.0,4436000.0,2201650.0,7521800.0,17805000.0
P29401,30990000.0,9182800.0,3568950.0,12284000.0,794110.0,37270000.0,4066400.0,3337100.0,1106300.0,9292600.0,5036200.0,3399300.0,499280.0,1010400.0,22512000.0,309240.0,34225000.0,2201650.0,4177500.0,12717000.0
P29508,13367000.0,27344000.0,3568950.0,52581000.0,4446600.0,150300000.0,89623000.0,2531200.0,1956400.0,2184900.0,1906500.0,3399300.0,2095700.0,575100.0,5150450.0,3129250.0,19397000.0,2201650.0,6629450.0,3841600.0
P30740,10521000.0,6842900.0,3568950.0,9460600.0,3525400.0,21849000.0,5651100.0,3337100.0,1106300.0,7187600.0,4252900.0,8608600.0,12353000.0,41739000.0,36499000.0,7992200.0,26725000.0,8902100.0,45796000.0,120770000.0
P31146,14835000.0,9651400.0,1916900.0,3751000.0,2682200.0,19922000.0,4760500.0,2125600.0,1106300.0,5615600.0,5036200.0,3399300.0,3886500.0,6790050.0,1286300.0,140940.0,10458000.0,2201650.0,646250.0,5587600.0
P32119,14563000.0,2316500.0,3568950.0,10438000.0,7620050.0,24220000.0,19735000.0,3337100.0,1106300.0,6659600.0,2187800.0,877720.0,983510.0,7619400.0,5150450.0,3129250.0,3637100.0,2201650.0,1594200.0,4728500.0
P55072,14563000.0,331760.0,3568950.0,1142300.0,7620050.0,2627500.0,2154600.0,3337100.0,1106300.0,6659600.0,370700.0,3399300.0,831960.0,1478200.0,5150450.0,3129250.0,377120.0,2201650.0,349170.0,3191400.0
P59666,362230000.0,382050000.0,11467000.0,17423500.0,104370000.0,359420000.0,110260000.0,33877000.0,1106300.0,108690000.0,156400000.0,3399300.0,76945000.0,53576000.0,428610000.0,291060000.0,860290000.0,51750000.0,58196000.0,121740000.0
P60174,9693200.0,2202200.0,3568950.0,49352000.0,843970.0,67761000.0,61685000.0,3337100.0,1106300.0,6659600.0,2144100.0,3399300.0,3886500.0,6563600.0,5150450.0,3129250.0,1721700.0,2201650.0,1284300.0,15846000.0
P61626,32290000.0,68507000.0,3568950.0,61529000.0,27268000.0,3143300.0,69324000.0,2664400.0,2714500.0,35725000.0,5036200.0,3399300.0,12022000.0,6790050.0,5199400.0,3129250.0,19210000.0,2201650.0,1595100.0,1762700.0
P62258,1626200.0,9546000.0,3568950.0,5881600.0,7620050.0,17184000.0,10555000.0,3337100.0,1106300.0,6659600.0,3665900.0,3945800.0,1626300.0,13134000.0,5150450.0,3129250.0,19397000.0,2201650.0,8286400.0,15042000.0
P62937,6310300.0,4836200.0,3568950.0,23298000.0,7620050.0,27531000.0,23534000.0,3337100.0,1106300.0,3018000.0,2725000.0,3399300.0,3039600.0,5740900.0,3673600.0,3129250.0,3738600.0,2201650.0,6629450.0,4896800.0
P63104,15037000.0,10760000.0,2781000.0,77666000.0,10465000.0,85990000.0,78214000.0,1792600.0,2563000.0,6421400.0,45993000.0,21503000.0,32218000.0,91662000.0,9166100.0,3129250.0,33441000.0,12823000.0,61454000.0,110330000.0
P63261,14563000.0,2936300.0,325180.0,2830100.0,7620050.0,3846200.0,8014600.0,547250.0,190110.0,2606700.0,5036200.0,3399300.0,627540.0,4071900.0,5150450.0,3129250.0,10384000.0,446840.0,968710.0,10346000.0
P68363,3753000.0,9546000.0,3568950.0,34589000.0,7620050.0,31967000.0,10396000.0,3337100.0,1106300.0,6659600.0,19471000.0,1887400.0,18263000.0,11275000.0,2043600.0,1148000.0,24352000.0,2201650.0,14024000.0,32698000.0
P68431,82276000.0,103500000.0,3568950.0,53267000.0,17801000.0,70355000.0,96833000.0,3337100.0,1106300.0,28779000.0,62881000.0,13155000.0,39963000.0,64538000.0,132740000.0,35977000.0,296750000.0,19673000.0,59637000.0,140550000.0
P68871,65898000.0,67352000.0,3568950.0,81390000.0,97616000.0,255550000.0,9414700.0,2672300.0,1106300.0,6659600.0,5036200.0,3399300.0,3886500.0,6790050.0,6010900.0,3129250.0,243700000.0,2201650.0,23822000.0,16682000.0
P80723,3783200.0,9239000.0,5011100.0,2122800.0,1872100.0,8736500.0,6440700.0,1395500.0,793580.0,7487800.0,5036200.0,3399300.0,349470.0,6790050.0,646780.0,3129250.0,4159600.0,909550.0,896450.0,1209800.0
Q01469,12607000.0,12692000.0,3568950.0,166850000.0,7421300.0,215250000.0,318000000.0,3337100.0,1106300.0,3306400.0,26647000.0,3322900.0,12196000.0,14491000.0,2999900.0,3129250.0,19397000.0,2201650.0,6144900.0,5493600.0
Q01518,9193400.0,1685300.0,3568950.0,9906800.0,714070.0,18669000.0,6554100.0,3337100.0,1106300.0,977540.0,5036200.0,3399300.0,3886500.0,2442200.0,2059400.0,3129250.0,7716400.0,2201650.0,3610100.0,7130700.0
Q08380,6616600.0,3052100.0,3568950.0,13682000.0,10246000.0,5929700.0,3793000.0,3337100.0,1106300.0,7791000.0,5036200.0,3399300.0,3886500.0,9920300.0,1234000.0,3129250.0,2937500.0,2201650.0,5513000.0,12043000.0
Q15365,3131100.0,2395600.0,3568950.0,8413800.0,7620050.0,20468000.0,9957100.0,3337100.0,1106300.0,6659600.0,3100200.0,3399300.0,1392100.0,1758100.0,1410500.0,3129250.0,5360700.0,2201650.0,6629450.0,3918400.0
Q6P5S2,1016700.0,9546000.0,3568950.0,67493000.0,5993800.0,7336500.0,7167200.0,3337100.0,1106300.0,35720000.0,5036200.0,3399300.0,18783000.0,6790050.0,5150450.0,3129250.0,38520000.0,2201650.0,48723000.0,1116600.0
Q8N4F0,6420400.0,9546000.0,3568950.0,16080000.0,1821900.0,3222000.0,10630000.0,3337100.0,1106300.0,4314300.0,5036200.0,3399300.0,26468000.0,6790050.0,5150450.0,3129250.0,12873000.0,2201650.0,19271000.0,8579300.0
Q8TDL5,2708300.0,9546000.0,3568950.0,11360000.0,5903000.0,24753000.0,10630000.0,3337100.0,1106300.0,5879700.0,5036200.0,2658400.0,8115500.0,5062000.0,1344200.0,1079900.0,62193000.0,2201650.0,29677000.0,16519000.0
Q9H6R0,3235900.0,7257600.0,3568950.0,4926600.0,13722000.0,24753000.0,10630000.0,3660200.0,1106300.0,10096000.0,5036200.0,5320300.0,3886500.0,6790050.0,6422700.0,2454100.0,51442000.0,2201650.0,6629450.0,19740000.0
